user_email,BRAD41,BRAD38,BRAD31,BRAD46,BRAD32,BRAD33,S6A,BRAD39,BRAD44,S5A,BRAD40,BRAD37,BRAD36,BRAD35,BRAD42,BRAD43,S4A,S3A,BRAD34,S2A,BRAD45
22@gmail.com,"Online, com suporte por chat e Inteligência Artificial","Conhecimento muito alto, sou especialista no assunto ou tenho muita experiência prática",g,Itaú Previdência|Bradesco Previdência,Não tenho,,Acima de R$ 8.000,Débito em conta,Confiança moderada,Aposentado,Indicação de um especialista ou consultor financeiro,"Todo mês, como parte do meu orçamento",Acima de 15%,,Passar o dia jogando videogame,"Muita preocupação, não invisto por receio de golpes",São Paulo,Entre 18 e 27 anos,,Masculino,Não
23@yahoo.com.br,,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Não sei,Bradesco Previdência |Nenhuma das anteriores|Brasilprev,Não tenho,,De R$ 1.000 a R$ 3.000,,Confiança moderada,Aposentado,,Não sei/Não investiria,Não sei/Não investiria,,,"Muita preocupação, não invisto por receio de golpes",Rio de Janeiro,Acima de 60 anos,,Feminino,Não
24@gmail.com,"Online, com suporte humano","Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Mercantil,Brasilprev|Bradesco Previdência |XP Previdência|Caixa Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,Pix,Confiança alta,Aposentado,Segurança e solidez da instituição,"Todo mês, como parte do meu orçamento",Acima de 15%,,Ajudar quem eu amo,"Preocupação moderada, estou atento, mas ainda invisto",Minas Gerais,Entre 18 e 27 anos,,Masculino,Outro
25@gmail.com,"Presencialmente, em uma agência ou com um corretor de seguros","Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Itaú,Nenhuma das anteriores,Não tenho,,De R$ 3.000 a R$ 5.000,Débito em conta,Confiança alta,Aposentado,Reputação da marca,"Todo mês, como parte do meu orçamento",Até 5%,,Manter padrão de vida quando parar de trabalhar,"Pouca preocupação, considero, mas acho improvável ser vítima",Rio de Janeiro,Entre 45 e 60 anos,,Masculino,Sim
26@gmail.com,"Presencialmente, em uma agência ou com um corretor de seguros","Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",BrasilPrev,Brasilprev|Bradesco Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,Débito em conta,Confiança muito baixa,Aposentado,Segurança e solidez da instituição,"Todo mês, como parte do meu orçamento",Até 5%,,Viajar,"Alta preocupação , tenho medo e isso influencia minhas decisões",São Paulo,Entre 45 e 60 anos,,Feminino,Sim
27@gmail.com,"Presencialmente, em uma agência ou com um corretor de seguros","Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Caixa,Itaú Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,Boleto,Confiança baixa,Aposentado,Reputação da marca,Quando recebo o 13º salário,Até 5%,,Ajudar quem eu amo,"Alta preocupação , tenho medo e isso influencia minhas decisões",Amazonas,Acima de 60 anos,,Feminino,Não
28@yahoo.com,WhatsApp via ChatBot,"Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Itaú Unibanco,XP Previdência,Não tenho,,De R$ 5.000 a R$ 8.000,Boleto,Confiança alta,Aposentado,Segurança e solidez da instituição,"Todo mês, como parte do meu orçamento",6% a 10%,,Ajudar quem eu amo,"Preocupação moderada, estou atento, mas ainda invisto",Paraná,Acima de 60 anos,,Masculino,Sim
29@gmail.com,,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Particular,Nenhuma das anteriores,Não tenho,,De R$ 1.000 a R$ 3.000,,Confiança muito baixa,Aposentado,,Não sei/Não investiria,Não sei/Não investiria,,,"Muita preocupação, não invisto por receio de golpes",Piauí,Acima de 60 anos,,Feminino,Não
30@gmail.com,"Presencialmente, em uma agência ou com um corretor de seguros","Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Não sei direito,Bradesco Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,Débito em conta,Confiança muito baixa,Aposentado,Segurança e solidez da instituição,Apenas quando sobra dinheiro,Não sei/Não investiria,,Pagar a faculdade para um filho ou familiar,"Alta preocupação , tenho medo e isso influencia minhas decisões",São Paulo,Acima de 60 anos,,Feminino,Não
31@outlook.com,,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Nem sei,Bradesco Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,,Confiança baixa,Aposentado,,Não sei/Não investiria,Não sei/Não investiria,,,"Nenhuma preocupação, confio completamente nas instituições",Rondônia,Entre 18 e 27 anos,,Masculino,Não
32@gmail.com,,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Inss,,Não tenho,,Menos de R$ 1.000,Boleto,,Aposentado,,Apenas quando sobra dinheiro,Até 5%,,,,São Paulo,Acima de 60 anos,,Masculino,
33@hotmail.com,"Presencialmente, em uma agência ou com um corretor de seguros","Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Itau,Itaú Previdência,Não tenho,,De R$ 3.000 a R$ 5.000,Pix,Confiança moderada,Aposentado,Indicação de um especialista ou consultor financeiro,Apenas quando sobra dinheiro,Caso a empresa oferecesse como benefício,,Pagar a faculdade para um filho ou familiar,"Preocupação moderada, estou atento, mas ainda invisto",São Paulo,Acima de 60 anos,,Masculino,Não
34@uol.com.br,WhatsApp com suporte humano,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Sul america,Nenhuma das anteriores,Não tenho,,De R$ 3.000 a R$ 5.000,Pix,Confiança moderada,Aposentado,Segurança e solidez da instituição,Nos meses em que tenho menos despesas,Até 5%,,Manter padrão de vida quando parar de trabalhar,"Muita preocupação, não invisto por receio de golpes",São Paulo,Acima de 60 anos,,Feminino,Não
35@hotmail.com,,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Unimed,Brasilprev,Não tenho,,De R$ 3.000 a R$ 5.000,,Confiança baixa,Aposentado,,Não sei/Não investiria,Até 5%,,,"Muita preocupação, não invisto por receio de golpes",São Paulo,Acima de 60 anos,,Feminino,Não
36@gmail.com,WhatsApp com suporte humano,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Caixa econômica federal,Caixa Previdência|Santander Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,Boleto,Confiança moderada,Aposentado,Rentabilidade,"Todo mês, como parte do meu orçamento",Até 5%,,Passar o dia jogando videogame,"Muita preocupação, não invisto por receio de golpes",São Paulo,Entre 45 e 60 anos,,Masculino,Outro
37@gmail.com,"Online, por meio de um corretor de seguros","Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Hospital,,Não tenho,,De R$ 3.000 a R$ 5.000,Boleto,Confiança muito baixa,Aposentado,Facilidade na contratação e gestão online,Apenas quando sobra dinheiro,Caso a empresa oferecesse como benefício,,Pagar a faculdade para um filho ou familiar,"Muita preocupação, não invisto por receio de golpes",Paraná,Acima de 60 anos,,Masculino,Não
38@gmail.com,,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",caixa,Brasilprev,Não tenho,,De R$ 1.000 a R$ 3.000,,Confiança muito baixa,Aposentado,,Não sei/Não investiria,Não sei/Não investiria,,,"Muita preocupação, não invisto por receio de golpes",Maranhão,Entre 45 e 60 anos,,Masculino,Não
39@hotmail.com,"Online, por meio de um corretor de seguros","Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Não sei,Caixa Previdência,Não tenho,,Prefiro não responder,Débito em conta,Confiança moderada,Aposentado,Flexibilidade no resgate,"Todo mês, como parte do meu orçamento",6% a 10%,,Manter padrão de vida quando parar de trabalhar,"Preocupação moderada, estou atento, mas ainda invisto",São Paulo,Entre 28 e 45 anos,,Feminino,Sim
40@gmail.com,"Online, por meio de um corretor de seguros","Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Inss,Brasilprev|XP Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,Débito em conta,Confiança muito alta,Aposentado,Facilidade na contratação e gestão online,Uma vez por ano ou em momentos específicos,11% a 15%,,Mudança de país,"Muita preocupação, não invisto por receio de golpes",Bahia,Entre 18 e 27 anos,,Feminino,Sim
41@gmail.com,Outro,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",N sei,Santander Previdência|Itaú Previdência|Caixa Previdência,Não tenho,,Menos de R$ 1.000,Boleto,Confiança muito baixa,Aposentado,Indicação de um especialista ou consultor financeiro,Nos meses em que tenho menos despesas,Não sei/Não investiria,,Viajar,"Muita preocupação, não invisto por receio de golpes",Bahia,Entre 45 e 60 anos,,Feminino,Não
42@gmail.com,"Online, com suporte por chat e Inteligência Artificial","Conhecimento muito alto, sou especialista no assunto ou tenho muita experiência prática",Bradesco,Brasilprev|Bradesco Previdência |Caixa Previdência|Itaú Previdência|Santander Previdência|XP Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,Pix,Confiança alta,Aposentado,Indicação de um especialista ou consultor financeiro,Uma vez por ano ou em momentos específicos,Não sei/Não investiria,,Me aposentar mais cedo,"Muita preocupação, não invisto por receio de golpes",São Paulo,Entre 18 e 27 anos,,Feminino,Não
43@winfor.com.br,"Por telefone, por meio de um corretor de seguros","Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Nike,Itaú Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,Pix,Confiança alta,Aposentado,Facilidade na contratação e gestão online,Apenas quando sobra dinheiro,Até 5%,,Viajar,"Preocupação moderada, estou atento, mas ainda invisto",Pernambuco,Entre 28 e 45 anos,,Masculino,Não
44@gmail.com,,"Conhecimento muito alto, sou especialista no assunto ou tenho muita experiência prática",Casa,Itaú Previdência,Não tenho,,Menos de R$ 1.000,,Confiança muito baixa,Aposentado,,Não sei/Não investiria,Não sei/Não investiria,,,"Nenhuma preocupação, confio completamente nas instituições",Bahia,Entre 18 e 27 anos,,Masculino,Não
45@hotmail.com,,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Não sei,,Não tenho,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,Caso a empresa oferecesse como benefício,,,,São Paulo,Acima de 60 anos,,Feminino,
46@gmail.com,"Online, por meio de um corretor de seguros","Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Nenhuma,XP Previdência,Não tenho,,De R$ 1.000 a R$ 3.000,Pix,Confiança moderada,Aposentado,Rentabilidade,Apenas quando sobra dinheiro,Não sei/Não investiria,,Ajudar quem eu amo,"Alta preocupação , tenho medo e isso influencia minhas decisões",Rio de Janeiro,Entre 45 e 60 anos,,Masculino,Não
47@hotmail.com.br,,"Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Bradescp,Nenhuma das anteriores,Não tenho,,Menos de R$ 1.000,Cartão de crédito,Confiança muito alta,Aposentado,,Nos meses em que tenho menos despesas,Até 5%,,,"Nenhuma preocupação, confio completamente nas instituições",Mato Grosso do Sul,Entre 28 e 45 anos,,Feminino,Não
48@gmail.com,WhatsApp com suporte humano,"Conhecimento alto, conheço bem e entendo como fazer escolhas ou investir",PETROS,Brasilprev,"Sim, a minha empresa oferece como benefício",Não se aplica,De R$ 5.000 a R$ 8.000,Débito em conta,Confiança moderada,Aposentado,Segurança e solidez da instituição,,,"Todo mês, como parte do meu orçamento",Manter padrão de vida quando parar de trabalhar,"Preocupação moderada, estou atento, mas ainda invisto",Pará,Acima de 60 anos,Até 5%,Masculino,Não
49@gmail.com,WhatsApp via ChatBot,"Conhecimento alto, conheço bem e entendo como fazer escolhas ou investir",r,Bradesco Previdência,"Sim, a minha empresa oferece como benefício",VGBL,Acima de R$ 8.000,Débito em conta,Confiança muito baixa,Aposentado,Taxas de administração e carregamento,,,Quando recebo bônus ou participação nos lucros,Pagar a faculdade para um filho ou familiar,"Nenhuma preocupação, confio completamente nas instituições",Acre,Entre 28 e 45 anos,6% a 10%,Masculino,Não
50@gmail.com,"Por telefone, por meio de um corretor de seguros","Conhecimento alto, conheço bem e entendo como fazer escolhas ou investir",Trrtr,Caixa Previdência,"Sim, a minha empresa oferece como benefício",PGBL,Acima de R$ 8.000,Cartão de crédito,Confiança baixa,Aposentado,Indicação de um especialista ou consultor financeiro,,,Quando recebo o 13º salário,Passar o dia jogando videogame,"Pouca preocupação, considero, mas acho improvável ser vítima",Amapá,Entre 28 e 45 anos,6% a 10%,Masculino,Não
51@gmail.com,WhatsApp com suporte humano,"Conhecimento alto, conheço bem e entendo como fazer escolhas ou investir",50000000,Bradesco Previdência,"Sim, eu mesmo decidi ter",Não sei informar,Acima de R$ 8.000,Pix,Confiança muito alta,Aposentado,Benefícios fiscais,,,Apenas quando sobra dinheiro,Mudança de país,"Alta preocupação , tenho medo e isso influencia minhas decisões",Bahia,Entre 28 e 45 anos,11% a 15%,Feminino,Sim
52@gmail.com,"Online, com suporte humano","Conhecimento alto, conheço bem e entendo como fazer escolhas ou investir",Itaú,Nenhuma das anteriores,"Sim, eu mesmo decidi ter",PGBL,De R$ 5.000 a R$ 8.000,Pix,Confiança muito alta,Aposentado,Segurança e solidez da instituição,,,"Todo mês, como parte do meu orçamento",Viajar,"Nenhuma preocupação, confio completamente nas instituições",Rio de Janeiro,Acima de 60 anos,11% a 15%,Feminino,Outro
53@gmail.com,WhatsApp com suporte humano,"Conhecimento muito alto, sou especialista no assunto ou tenho muita experiência prática",Nike,Nenhuma das anteriores,"Sim, eu mesmo decidi ter",Não se aplica,De R$ 5.000 a R$ 8.000,Pix,Confiança alta,Aposentado,Reputação da marca,,,Quando recebo o 13º salário,Ajudar quem eu amo,"Muita preocupação, não invisto por receio de golpes",Maranhão,Entre 18 e 27 anos,Acima de 15%,Masculino,Não
54@gmail.com,"Online, com suporte por chat e Inteligência Artificial","Conhecimento alto, conheço bem e entendo como fazer escolhas ou investir",Rico,Caixa Previdência,"Sim, eu mesmo decidi ter",PGBL,De R$ 3.000 a R$ 5.000,Pix,Confiança muito alta,Aposentado,Rentabilidade,,,Apenas quando sobra dinheiro,Manter padrão de vida quando parar de trabalhar,"Alta preocupação , tenho medo e isso influencia minhas decisões",Bahia,Entre 18 e 27 anos,11% a 15%,Masculino,Não
55@gmail.com,WhatsApp com suporte humano,"Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Não sei,Bradesco Previdência,"Tinha, mas cancelei",,De R$ 3.000 a R$ 5.000,Cartão de crédito,Confiança baixa,Aposentado,Indicação de um especialista ou consultor financeiro,Quando recebo bônus ou participação nos lucros,11% a 15%,,Me aposentar mais cedo,"Alta preocupação , tenho medo e isso influencia minhas decisões",São Paulo,Entre 45 e 60 anos,,Masculino,Não
56@gmail.com,WhatsApp com suporte humano,"Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Inimed,Caixa Previdência|Itaú Previdência|Santander Previdência|Bradesco Previdência,"Tinha, mas cancelei",,De R$ 1.000 a R$ 3.000,Cartão de crédito,Confiança baixa,Aposentado,Flexibilidade no resgate,Uma vez por ano ou em momentos específicos,Até 5%,,Manter padrão de vida quando parar de trabalhar,"Muita preocupação, não invisto por receio de golpes",Santa Catarina,Acima de 60 anos,,Masculino,Não
57@yahoo.com,"Presencialmente, em uma agência ou com um corretor de seguros","Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Banco,Brasilprev|Santander Previdência|Bradesco Previdência |Itaú Previdência|Caixa Previdência|Icatu,"Tinha, mas cancelei",,De R$ 1.000 a R$ 3.000,Cartão de crédito,Confiança alta,Aposentado,Segurança e solidez da instituição,"Todo mês, como parte do meu orçamento",6% a 10%,,Pagar a faculdade para um filho ou familiar,"Muita preocupação, não invisto por receio de golpes",Amazonas,Entre 45 e 60 anos,,Masculino,Outro
58@gmail.com,"Online, por meio de um corretor de seguros","Conhecimento alto, conheço bem e entendo como fazer escolhas ou investir",Caixa,Caixa Previdência,"Tinha, mas cancelei",,De R$ 3.000 a R$ 5.000,Pix,Confiança moderada,Aposentado,Benefícios fiscais,Apenas quando sobra dinheiro,6% a 10%,,Ajudar quem eu amo,"Pouca preocupação, considero, mas acho improvável ser vítima",Amazonas,Acima de 60 anos,,Masculino,Não
59@gmail.com,WhatsApp com suporte humano,"Conhecimento muito alto, sou especialista no assunto ou tenho muita experiência prática",Ss,Icatu,"Tinha, mas cancelei",,De R$ 3.000 a R$ 5.000,Cartão de crédito,Confiança baixa,Aposentado,Segurança e solidez da instituição,Quando recebo o 13º salário,Acima de 15%,,Manter padrão de vida quando parar de trabalhar,"Alta preocupação , tenho medo e isso influencia minhas decisões",Acre,Entre 28 e 45 anos,,Masculino,Sim
60@gmail.com,,"Conhecimento muito alto, sou especialista no assunto ou tenho muita experiência prática",Nada,Itaú Previdência,"Tinha, mas cancelei",,,,Confiança moderada,Aposentado,,,6% a 10%,,,"Muita preocupação, não invisto por receio de golpes",Pará,Entre 45 e 60 anos,,Masculino,Sim
61@gmail.com,"Online, com suporte humano","Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Inss,Caixa Previdência,"Tinha, mas cancelei",,De R$ 3.000 a R$ 5.000,Boleto,Confiança moderada,Aposentado,Rentabilidade,Apenas quando sobra dinheiro,6% a 10%,,Pagar a faculdade para um filho ou familiar,"Alta preocupação , tenho medo e isso influencia minhas decisões",Amazonas,Entre 45 e 60 anos,,Feminino,Não
62@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Adidas,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Paraná,Entre 28 e 45 anos,,Masculino,
63@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nenhuma,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Rio de Janeiro,Entre 18 e 27 anos,,Masculino,
64@hotmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nenhum,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Bahia,Entre 28 e 45 anos,,Feminino,
65@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nenhuma,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,São Paulo,Entre 18 e 27 anos,,Masculino,
66@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Goiás,Entre 18 e 27 anos,,Feminino,
67@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Wkwkwksk,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Maranhão,Entre 18 e 27 anos,,Masculino,
68@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Inss,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Bahia,Entre 28 e 45 anos,,Feminino,
69@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Sei la,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Bahia,Entre 18 e 27 anos,,Feminino,
70@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Coca-Cola,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,São Paulo,Entre 45 e 60 anos,,Masculino,
71@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Sei la,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Ceará,Entre 18 e 27 anos,,Feminino,
72@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",nenhuma,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,São Paulo,Entre 18 e 27 anos,,Masculino,
73@gmail.com,,"Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Bradesco,,,,Prefiro não responder,,,Autônomo,,,,,,,Rio de Janeiro,Acima de 60 anos,,Feminino,
74@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Não sei informar,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Paraíba,Entre 18 e 27 anos,,Feminino,
75@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Inss,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Rio de Janeiro,Entre 28 e 45 anos,,Feminino,
76@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Na,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Goiás,Entre 18 e 27 anos,,Feminino,
77@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nenhuma,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Ceará,Entre 28 e 45 anos,,Masculino,
78@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nenhuma,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Ceará,Entre 28 e 45 anos,,Feminino,
79@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nai sei,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Minas Gerais,Entre 18 e 27 anos,,Feminino,
80@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nenhuma,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Mato Grosso do Sul,Acima de 60 anos,,Masculino,
81@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Não sei,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Santa Catarina,Entre 18 e 27 anos,,Feminino,
82@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",N sei,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Rio Grande do Sul,Entre 18 e 27 anos,,Feminino,
83@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada","Não sei 
",Nenhuma das anteriores,,,Menos de R$ 1.000,,Confiança muito baixa,Autônomo,,,,,,"Nenhuma preocupação, confio completamente nas instituições",São Paulo,Entre 18 e 27 anos,,Feminino,Não
84@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Paloma,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,São Paulo,Entre 45 e 60 anos,,Feminino,
85@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nem sei,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Santa Catarina,Entre 45 e 60 anos,,Masculino,
86@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Não sei,,,,De R$ 1.000 a R$ 3.000,,,Autônomo,,,,,,,Goiás,Entre 18 e 27 anos,,Masculino,
87@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Não sei,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Maranhão,Entre 28 e 45 anos,,Feminino,
88@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Jggv,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Acre,Entre 18 e 27 anos,,Masculino,
89@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Privada,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Rio de Janeiro,Entre 45 e 60 anos,,Feminino,
90@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nenhuma,,,,Menos de R$ 1.000,,,Autônomo,,,,,,,Mato Grosso do Sul,Entre 18 e 27 anos,,Masculino,
